NUM|CONSOLKEY|CRFTYPE|CRF_TXN_CODE|TID|PARENTBRCA|BRCA_CO|CCY|PSTA|DRCR|EXRATE|CURRMAR|ACCOFF|TRAT|PLCATE|PRODCA|SYSID|DESK|DLREF|OUREF|THREF|CSNM|COUNTERPARTY|VALD|PSTD|EXDATE|INPUTTER|AUTHORISER|RSMK|REMK|CURRNO|SYS_DATE|CATEGORY|SECTOR|TENOR|PRODCODE|
50010101|PL.51001.21055.3063.ST.02304.UNSECU.00......CN0010606|51001|ACC|184810040244529.000001|0606|0606|USD|124.310000|1|6.616600|1|9999|450|51001|21055|LD|00|LD1813418319|LD1813418319||1001150||20180702|20180702||45_INPUTTER|45_INPUTTER|||1|20180702|51001|3063|ST|21055|
50110101|PL.50000.1112.3063..........CN0010606|||184811060744677.050001|0606|0606|CNY|-0.210000|0||1|9999|380|50000|1112|IC|||1060602000000747||1001381|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3063||1112|
59010202|PL.51001.21053.3203.MT.02199.SECU.00......CN0010606|51001|ACC|184811975244522.000001|0606|0606|CNY|2750.410000|1||1|1|450|51001|21053|LD|00|LD1727211486|LD1727211486||1003676||20180702|20180702||41_INPUTTER|41_INPUTTER|||1|20180702|51001|3203|MT|21053|
50010202|PL.51001.21053.3049.MT.02102.UNSECU.00......CN0010608|51001|ACC|184812980344524.020001|0608|0608|CNY|74.140000|1||1|1|450|51001|21053|LD|00|LD1808287473|LD1808287473||1002957||20180702|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51001|3049|MT|21053|
50010103|PL.51001.21052.3049.ST.02001.UNSECU.00......CN0010606|51001|ACC|184430433071267.020001|0606|0606|CNY|746.760000|1||1|1|450|51001|21052|LD|00|LD1733514511|LD1733514511||1003771||20180701|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51001|3049|ST|21052|
50110101|PL.50000.1112.3203..........CN0010613|||184810040244669.070001|0606|0613|CNY|-1321.260000|0||1|1|380|50000|1112|IC|||1061302000006705||1003777|||20180702||45_INPUTTER|45_INPUTTER|||1|20180702|50000|3203||1112|
50010103|PL.51001.21052.3049.ST.02001.UNSECU.00......CN0010606|51001|ACC|184811397744527.000001|0606|0606|CNY|746.760000|1||1|1|450|51001|21052|LD|00|LD1733514511|LD1733514511||1003771||20180702|20180702||49_INPUTTER|49_INPUTTER|||1|20180702|51001|3049|ST|21052|
50110101|PL.50000.1112.3203..........CN0010607|||184812311944673.030001|0606|0607|CNY|-0.600000|0||1|9999|380|50000|1112|IC|||1060702000001497||1001434|||20180702||42_INPUTTER|42_INPUTTER|||1|20180702|50000|3203||1112|
59010203|PL.51001.21056.3107.MT.02401.SECU.00......CN0010606|51001|ACC|184430433071265.020001|0606|0606|CNY|1812.310000|1||1|1|450|51001|21056|LD|00|LD1634429206|LD1634429206||1002146||20180701|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51001|3107|MT|21056|
501104|PL.50000.6122.1002..........CN0010606|||184810387444668.020001|0606|0606|CNY|-3.670000|0||1|9999|380|50000|6122|IC|||1060606000002306||1000342|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|1002||6122|
59010203|PL.51001.21056.3107.MT.02401.SECU.00......CN0010606|51001|ACC|184811060744519.000001|0606|0606|CNY|1812.310000|1||1|1|450|51001|21056|LD|00|LD1634429206|LD1634429206||1002146||20180702|20180702||48_INPUTTER|48_INPUTTER|||1|20180702|51001|3107|MT|21056|
501103|PL.50000.1101.1002..........CN0010606|||184812311944659.020001|0606|0606|CNY|-0.010000|0||1|9999|380|50000|1101|IC|||1060601000004088||1000326|||20180702||42_INPUTTER|42_INPUTTER|||1|20180702|50000|1002||1101|
50010103|PL.51001.21052.3203.ST.02001.UNSECU.00......CN0010606|51001|ACC|184430769771267.040001|0606|0606|CNY|1389.580000|1||1|9999|450|51001|21052|LD|00|LD1732173706|LD1732173706||1001210||20180701|20180702||45_INPUTTER|45_INPUTTER|||1|20180702|51001|3203|ST|21052|
501102|PL.50000.6131.3203..........CN0010606|||184810724044666.040001|0606|0606|CNY|-330.000000|0||1|9999|380|50000|6131|IC|||1060607000002167||1001234|||20180702||47_INPUTTER|47_INPUTTER|||1|20180702|50000|3203||6131|
50110101|PL.50000.1112.3203..........CN0010606|||184811060744676.030001|0606|0606|CNY|-2.650000|0||1|1|380|50000|1112|IC|||1060602000005199||1002159|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3203||1112|
50110101|PL.50000.1112.3203..........CN0010606|||184811060744678.060001|0606|0606|CNY|-1.100000|0||1|9999|380|50000|1112|IC|||1060602000001088||1002136|||20180702||48_INPUTTER|48_INPUTTER|||1|20180702|50000|3203||1112|
50010103|PL.51001.21052.3203.ST.02001.UNSECU.00......CN0010606|51001|ACC|184811975244525.010001|0606|0606|CNY|1389.590000|1||1|9999|450|51001|21052|LD|00|LD1732173706|LD1732173706||1001210||20180702|20180702||41_INPUTTER|41_INPUTTER|||1|20180702|51001|3203|ST|21052|
50010101|PL.51001.21055.3201.ST.02304.UNSECU.00......CN0010606|51001|ACC|184433041371266.140001|0606|0606|USD|121.510000|1|6.616600|1|1|450|51001|21055|LD|00|LD1816446799|LD1816446799||1004420||20180701|20180702||42_INPUTTER|42_INPUTTER|||1|20180702|51001|3201|ST|21055|
50010101|PL.51001.21055.3201.ST.02304.UNSECU.00......CN0010606|51001|ACC|184810040244526.000001|0606|0606|USD|121.510000|1|6.616600|1|1|450|51001|21055|LD|00|LD1816446799|LD1816446799||1004420||20180702|20180702||45_INPUTTER|45_INPUTTER|||1|20180702|51001|3201|ST|21055|
501104|PL.50000.6122.1002..........CN0010606|||184810387444662.050001|0606|0606|CNY|-21.340000|0||1|9999|380|50000|6122|IC|||1060606000000761||1000445|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|1002||6122|
50010103|PL.51001.21052.3049.ST.02001.UNSECU.00......CN0010608|51001|ACC|184430096371265.100001|0608|0608|CNY|34.940000|1||1|1|450|51001|21052|LD|00|LD1817352498|LD1817352498||1002955||20180701|20180702||43_INPUTTER|43_INPUTTER|||1|20180702|51001|3049|ST|21052|
50010103|PL.51001.21052.3049.ST.02001.UNSECU.00......CN0010608|51001|ACC|184810387444527.020001|0608|0608|CNY|34.940000|1||1|1|450|51001|21052|LD|00|LD1817352498|LD1817352498||1002955||20180702|20180702||46_INPUTTER|46_INPUTTER|||1|20180702|51001|3049|ST|21052|
500105|PL.51500.21060.3107.ST.03002..00......CN0010611|51500|ACC|184432704671265.030001|0611|0611|CNY|768.680000|1||1|1|450|51500|21060|LD|00|LD1809300768|LD1809300768||1003089||20180701|20180702||40_INPUTTER|40_INPUTTER|||1|20180702|51500|3107|ST|21060|
501104|PL.50000.6122.1002..........CN0010606|||184810387444664.010001|0606|0606|CNY|-21.340000|0||1|9999|380|50000|6122|IC|||1060606000001679||1000753|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|1002||6122|
501102|PL.50000.6131.3203..........CN0010606|||184810724044665.020001|0606|0606|CNY|-214.980000|0||1|9999|380|50000|6131|IC|||1060607000000679||1000317|||20180702||47_INPUTTER|47_INPUTTER|||1|20180702|50000|3203||6131|
500105|PL.51500.21060.3107.ST.03002..00......CN0010611|51500|ACC|184812980344524.070001|0611|0611|CNY|768.670000|1||1|1|450|51500|21060|LD|00|LD1809300768|LD1809300768||1003089||20180702|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51500|3107|ST|21060|
