NUM|IN_TYPE|TRADE_ID|TRADE_ID_T|BRCA|PARENTBRCA|BRCA_CO|PARENTBRCA_CO|CSNM|CTNM|DTYP|CCY|PSTA|PSTD|RSMK|REMK|TRADE_ID_O|VALD|CNLSC|SYS_DATE|
50031102|3|0609101000000653||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|302.7000|20180320||||20180320|GAR|20180702|
50031102|3|0609101000000673||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|266.0100|20180328||||20180328|GAR|20180702|
50031102|3|0609101000000693||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|1286.8500|20180328||||20180328|GAR|20180702|
113212|2|0609101000000711||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|226.9900|20180330||||20180330|GAR|20180702|
113212|2|0609101000000721||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|551.9100|20180330||||20180330|GAR|20180702|
50031102|3|0609101000000763||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|356.6200|20180403||||20180403|GAR|20180702|
50031102|3|0609101000000803||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|392.6600|20180408||||20180408|GAR|20180702|
113212|2|0609101000000815||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|303.1200|20180411||||20180411|GAR|20180702|
113212|2|0609101000000825||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|175.5600|20180413||||20180413|GAR|20180702|
113212|2|0609101000000835||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|50.4300|20180413||||20180413|GAR|20180702|
113212|2|0609101000000845||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|198.3600|20180419||||20180419|GAR|20180702|
113212|2|0609101000000855||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|51.4300|20180420||||20180420|GAR|20180702|
50031102|3|0609101000000883||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|311.0900|20180428||||20180428|GAR|20180702|
113212|2|0609101000000911||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|481.6100|20180428||||20180428|GAR|20180702|
113212|2|0609101000000925||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|436.5000|20180507||||20180507|GAR|20180702|
113212|2|0609101000000935||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|45.1100|20180524||||20180524|GAR|20180702|
50031102|3|0609101000000953||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|307.1800|20180531||||20180531|GAR|20180702|
113212|2|0609101000000961||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|14.8400|20180531||||20180531|GAR|20180702|
113212|2|0609101000000971||0606|0606|0606|0606|1002140|天津港保税区国光国际贸易有限公司|1|CNY|445.4000|20180629||||20180629|GAR|20180702|
