LCNO|TRAT|GTYPEA|GTYPEB|CTNM|CSNM|RESC|ISDT|BEFC|MALC|LCCR|LCAM|LCTE|COMS|OCMS|CNLOBS|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|UNEARN_FEE|CUST_AGRNO|BANK_PAY_FLG|ORIG_LCAM|SYS_DATE|
MD1803958793|保证||002|晃谊洁净工程（上海）有限公司|1001317||20180208|||CNY|4694110.600000|20180831|||1001317.0003040.01.02||3040.01|循环综授－保函|CNY|8000000.000000||0606|0606|0.000000|2017开保字第00058号|2|4694110.60|20180702|
MD1807551808|备用信用证|001||江苏澳太斯纺织品实业有限公司|1004265|A|20180316|9000032||CNY|12500000.000000|20190316|,||1004265.0003042.01.01||3042.01|循环综授－备用信用证|CNY|30000000.000000||0606|0606|0.000000|2017开保字第00070号|2|12500000.00|20180702|
MD1808541068|备用信用证|001||江苏澳太斯纺织品实业有限公司|1004265|A|20180326|9000032||CNY|8500000.000000|20190326|,||1004265.0003042.01.01||3042.01|循环综授－备用信用证|CNY|30000000.000000||0606|0606|0.000000|2017开保字第00070号|2|8500000.00|20180702|
MD1808920972|保证||002|爱派克斯（北京）国际物流有限公司|1002866||20180401|||CNY|300000.000000|20190331|||1002866.0003040.01.03||3040.01|循环综授－保函|CNY|1400000.000000||0606|0606|0.000000|2017开保字第00019-3号|2|300000.00|20180702|
MD1810989437|备用信用证|001||上海展升电子有限公司|1003292||20180419|||CNY|7500000.000000|20190419|,||1003292.0003042.01.01||3042.01|循环综授－备用信用证|CNY|10000000.000000||0606|0606|0.000000|2017开保字第00017号|2|7500000.00|20180702|
MD1811620968|保证||002|上海迷芬至餐饮管理有限公司|1002172||20180426|1002713||CNY|17000000.000000|20230304|,||1002172.0003040.01.01||3040.01|循环综授－保函|CNY|17000000.000000||0606|0606|0.000000|2018开保字第00027号|2|17000000.00|20180702|
MD1811638772|保证||002|上海迷芬致贸易有限公司 |1002171||20180426|||CNY|17000000.000000|20230304|||1002171.0003040.01.01||3040.01|循环综授－保函|CNY|17000000.000000||0606|0606|0.000000|2018开保字第00028号|2|17000000.00|20180702|
MD1812910550|备用信用证|001||嘉兴艾迪西暖通科技有限公司|1001364||20180509|9000032||CNY|20000000.000000|20190509|,||1001364.0003042.01.03||3042.01|循环综授－备用信用证|CNY|20000000.000000||0606|0606|0.000000|2018融一字第00005号|2|20000000.00|20180702|
MD1814218263|备用信用证|001||江苏澳太斯纺织品实业有限公司|1004265||20180522|9000032||CNY|4000000.000000|20190522|,||1004265.0003042.01.01||3042.01|循环综授－备用信用证|CNY|30000000.000000||0606|0606|0.000000|2017开保字第00070号|2|4000000.00|20180702|
MD1816629198|备用信用证|001||北京鉴衡认证中心有限公司|1001273||20180615|||CNY|6000000.000000|20181231|,||1001273.0003042.01.04||3042.01|循环综授－备用信用证|CNY|7000000.000000||0606|0606|0.000000|2018开保字第00047号|2|6000000.00|20180702|
MD1817122182|收到保函|||国泰世华银行 香港分行|9000031||20180620|||CNY|2000000.000000|20190620||||||||||0606|0606|0.000000||2|0.000000|20180702|
MD1817186030|保证||002|爱派克斯国际物流（中国）有限公司|1002187|A|20180620|||CNY|2000000.000000|20190620|||1002187.0003040.01.04||3040.01|循环综授－保函|CNY|8350000.000000||0606|0606|0.000000|2018开保字第00041-1号|2|2000000.00|20180702|
