NUM|NAME|CCY|PARENTBRCA|BRCA|BALANCE|CLSFCT_ITEM|DA|CA|ACT_DATE|
101502|存放联行款项-境外资金往来|CNY||0606|5035258.400000|资产|0.000000|0.000000|20180701|
101502|存放联行款项-境外资金往来|EUR||0606|118936.500000|资产|0.000000|0.000000|20180701|
101502|存放联行款项-境外资金往来|HKD||0606|51443.780000|资产|0.000000|0.000000|20180701|
101502|存放联行款项-境外资金往来|USD||0606|370117.150000|资产|0.000000|0.000000|20180701|
10150201|存放联行款项-境外资金往来-存同|USD||0606|370117.150000|资产|0.000000|0.000000|20180701|
10150201|存放联行款项-境外资金往来-存同|CNY||0606|5035258.400000|资产|0.000000|0.000000|20180701|
10150201|存放联行款项-境外资金往来-存同|EUR||0606|118936.500000|资产|0.000000|0.000000|20180701|
10150201|存放联行款项-境外资金往来-存同|HKD||0606|51443.780000|资产|0.000000|0.000000|20180701|
1132|应收利息|JPY||0606|223455.000000|资产|0.000000|0.000000|20180701|
1132|应收利息|CNY||0606|8893789.430000|资产|0.000000|0.000000|20180701|
1132|应收利息|USD||0606|53902.910000|资产|0.000000|0.000000|20180701|
113201|应收利息-应收单位短期贷款息|CNY||0606|1309625.900000|资产|0.000000|0.000000|20180701|
113201|应收利息-应收单位短期贷款息|USD||0606|51881.410000|资产|0.000000|0.000000|20180701|
11320101|应收利息-应收单位短期贷款息-贸易融资（不含福费廷）|USD||0606|51881.410000|资产|0.000000|0.000000|20180701|
11320103|应收利息-应收单位短期贷款息-流动资金贷款|CNY||0606|1309625.900000|资产|0.000000|0.000000|20180701|
113202|应收利息-应收单位中期贷款息|CNY||0606|2555570.830000|资产|0.000000|0.000000|20180701|
113202|应收利息-应收单位中期贷款息|USD||0606|748.770000|资产|0.000000|0.000000|20180701|
11320202|应收利息-应收单位中期贷款息-固定资产贷款|CNY||0606|368462.600000|资产|0.000000|0.000000|20180701|
11320202|应收利息-应收单位中期贷款息-固定资产贷款|USD||0606|748.770000|资产|0.000000|0.000000|20180701|
11320203|应收利息-应收单位中期贷款息-流动资金贷款|CNY||0606|2187108.230000|资产|0.000000|0.000000|20180701|
113203|应收利息-应收单位长期贷款息|CNY||0606|41858.340000|资产|0.000000|0.000000|20180701|
11320302|应收利息-应收单位长期贷款息-固定资产贷款|CNY||0606|41858.340000|资产|0.000000|0.000000|20180701|
113212|应收利息-应收保理利息（有追索权）|CNY||0606|87628.550000|资产|0.000000|0.000000|20180701|
113291|应收利息-应收单位短期贷款息（担保）|CNY||0606|298819.430000|资产|0.000000|0.000000|20180701|
113291|应收利息-应收单位短期贷款息（担保）|JPY||0606|223455.000000|资产|0.000000|0.000000|20180701|
11329101|应收利息-应收单位短期贷款息（担保）-贸易融资（不含福费廷担保）|JPY||0606|223455.000000|资产|0.000000|0.000000|20180701|
11329103|应收利息-应收单位短期贷款息（担保）-流动资金贷款（担保）|CNY||0606|298819.430000|资产|0.000000|0.000000|20180701|
113292|应收利息-应收单位中期贷款息（担保）|CNY||0606|4371713.360000|资产|0.000000|0.000000|20180701|
113292|应收利息-应收单位中期贷款息（担保）|USD||0606|1272.730000|资产|0.000000|0.000000|20180701|
11329202|应收利息-应收单位中期贷款息（担保）-固定资产贷款（担保）|CNY||0606|3122588.930000|资产|0.000000|0.000000|20180701|
11329202|应收利息-应收单位中期贷款息（担保）-固定资产贷款（担保）|USD||0606|1272.730000|资产|0.000000|0.000000|20180701|
11329203|应收利息-应收单位中期贷款息（担保）-流动资金贷款（担保）|CNY||0606|1249124.430000|资产|0.000000|0.000000|20180701|
113293|应收利息-应收单位长期贷款息（担保）|CNY||0606|228573.020000|资产|0.000000|0.000000|20180701|
11329302|应收利息-应收单位长期贷款息（担保）-固定资产贷款（担保）|CNY||0606|228573.020000|资产|0.000000|0.000000|20180701|
1221|其他应收款|CNY||0606|1766632.770000|资产|0.000000|0.000000|20180701|
122103|其他应收款-预付款|CNY||0606|334927.920000|资产|0.000000|0.000000|20180701|
12210308|其他应收款-预付款-房地租|CNY||0606|264677.000000|资产|0.000000|0.000000|20180701|
12210309|其他应收款-预付款-其他设备租金|CNY||0606|359.690000|资产|0.000000|0.000000|20180701|
12210310|其他应收款-预付款-维修保养费|CNY||0606|30190.580000|资产|0.000000|0.000000|20180701|
12210312|其他应收款-预付款-电话电信费|CNY||0606|804.960000|资产|0.000000|0.000000|20180701|
12210313|其他应收款-预付款-车辆租赁|CNY||0606|14121.170000|资产|0.000000|0.000000|20180701|
12210399|其他应收款-预付款-其他|CNY||0606|24774.520000|资产|0.000000|0.000000|20180701|
122105|其他应收款-税负补贴|CNY||0606|1269767.750000|资产|0.000000|0.000000|20180701|
122199|其他应收款-其他应收款项|CNY||0606|161937.100000|资产|0.000000|0.000000|20180701|
12219903|其他应收款-其他应收款项-预支款项|CNY||0606|18867.920000|资产|0.000000|0.000000|20180701|
12219912|其他应收款-其他应收款项-待补发票|CNY||0606|114396.000000|资产|0.000000|0.000000|20180701|
12219914|其他应收款-其他应收款项-待补发票（电信）|CNY||0606|29064.400000|资产|0.000000|0.000000|20180701|
12219999|其他应收款-其他应收款项-其他|CNY||0606|-391.220000|资产|0.000000|0.000000|20180701|
1305|单位短期贷款|CNY||0606|978859224.810000|资产|0.000000|0.000000|20180701|
1305|单位短期贷款|USD||0606|9686771.640000|资产|0.000000|0.000000|20180701|
130501|单位短期贷款-贸易融资|USD||0606|9686771.640000|资产|0.000000|0.000000|20180701|
13050101|单位短期贷款-贸易融资-进出口|USD||0606|9686771.640000|资产|0.000000|0.000000|20180701|
130503|单位短期贷款-流动资金贷款|CNY||0606|978859224.810000|资产|0.000000|0.000000|20180701|
1306|单位中期贷款|CNY||0606|736081810.750000|资产|0.000000|0.000000|20180701|
1306|单位中期贷款|USD||0606|393994.550000|资产|0.000000|0.000000|20180701|
130602|单位中期贷款-固定资产贷款|USD||0606|393994.550000|资产|0.000000|0.000000|20180701|
130602|单位中期贷款-固定资产贷款|CNY||0606|195190389.750000|资产|0.000000|0.000000|20180701|
13060202|单位中期贷款-固定资产贷款-其他固定资产贷款|USD||0606|393994.550000|资产|0.000000|0.000000|20180701|
13060202|单位中期贷款-固定资产贷款-其他固定资产贷款|CNY||0606|195190389.750000|资产|0.000000|0.000000|20180701|
130603|单位中期贷款-流动资金贷款|CNY||0606|540891421.000000|资产|0.000000|0.000000|20180701|
1307|单位长期贷款|CNY||0606|29288636.360000|资产|0.000000|0.000000|20180701|
130702|单位长期贷款-固定资产贷款|CNY||0606|29288636.360000|资产|0.000000|0.000000|20180701|
13070202|单位长期贷款-固定资产贷款-其他固定资产贷款|CNY||0606|29288636.360000|资产|0.000000|0.000000|20180701|
1308|保理业务|CNY||0606|41392397.630000|资产|0.000000|0.000000|20180701|
130801|保理业务-无追索权|CNY||0606|22712953.010000|资产|0.000000|0.000000|20180701|
130802|保理业务-有追索权|CNY||0606|18679444.620000|资产|0.000000|0.000000|20180701|
1309|贴现资产|CNY||0606|412328146.740000|资产|0.000000|0.000000|20180701|
130901|贴现资产-无追索权|CNY||0606|412328146.740000|资产|0.000000|0.000000|20180701|
1315|贷款损失准备|JPY||0606|-275021.100000|资产|0.000000|0.000000|20180701|
1315|贷款损失准备|USD||0606|-614509.980000|资产|0.000000|0.000000|20180701|
1315|贷款损失准备|CNY||0606|-50707307.520000|资产|0.000000|0.000000|20180701|
131501|贷款损失准备-一般准备|CNY||0606|-47207307.520000|资产|0.000000|0.000000|20180701|
131501|贷款损失准备-一般准备|USD||0606|-565569.890000|资产|0.000000|0.000000|20180701|
131501|贷款损失准备-一般准备|JPY||0606|-275021.100000|资产|0.000000|0.000000|20180701|
131502|贷款损失准备-专项准备|CNY||0606|-3500000.000000|资产|0.000000|0.000000|20180701|
131599|贷款损失准备-其他贷款损失准备|USD||0606|-48940.090000|资产|0.000000|0.000000|20180701|
1395|单位短期贷款（担保）|CNY||0606|209983420.840000|资产|0.000000|0.000000|20180701|
1395|单位短期贷款（担保）|JPY||0606|27502110.000000|资产|0.000000|0.000000|20180701|
139501|单位短期贷款（担保）-贸易融资（担保）|JPY||0606|27502110.000000|资产|0.000000|0.000000|20180701|
13950101|单位短期贷款（担保）-贸易融资（担保）-进出口（担保）|JPY||0606|27502110.000000|资产|0.000000|0.000000|20180701|
139503|单位短期贷款（担保）-流动资金贷款（担保)|CNY||0606|202983420.840000|资产|0.000000|0.000000|20180701|
139599|单位短期贷款（担保）-已减值（担保)|CNY||0606|7000000.000000|资产|0.000000|0.000000|20180701|
13959901|单位短期贷款（担保）-已减值（担保)-本金|CNY||0606|7000000.000000|资产|0.000000|0.000000|20180701|
1396|单位中期贷款（担保）|USD||0606|676222.790000|资产|0.000000|0.000000|20180701|
1396|单位中期贷款（担保）|CNY||0606|1489090447.680000|资产|0.000000|0.000000|20180701|
139602|单位中期贷款（担保）-固定资产贷款（担保)|CNY||0606|1269963575.990000|资产|0.000000|0.000000|20180701|
139602|单位中期贷款（担保）-固定资产贷款（担保)|USD||0606|676222.790000|资产|0.000000|0.000000|20180701|
13960201|单位中期贷款（担保）-固定资产贷款（担保)-房地产开发贷款（担保)|CNY||0606|69639270.840000|资产|0.000000|0.000000|20180701|
13960202|单位中期贷款（担保）-固定资产贷款（担保)-其他固定资产贷款（担保)|CNY||0606|1200324305.150000|资产|0.000000|0.000000|20180701|
13960202|单位中期贷款（担保）-固定资产贷款（担保)-其他固定资产贷款（担保)|USD||0606|676222.790000|资产|0.000000|0.000000|20180701|
139603|单位中期贷款（担保）-流动资金贷款（担保)|CNY||0606|219126871.690000|资产|0.000000|0.000000|20180701|
1397|单位长期贷款（担保)|CNY||0606|163040000.000000|资产|0.000000|0.000000|20180701|
139702|单位长期贷款（担保)-固定资产贷款（担保）|CNY||0606|163040000.000000|资产|0.000000|0.000000|20180701|
13970202|单位长期贷款（担保)-固定资产贷款（担保）-其他固定资产贷款（担保）|CNY||0606|163040000.000000|资产|0.000000|0.000000|20180701|
1520|存出保证金|CNY||0606|1114938.000000|资产|0.000000|0.000000|20180701|
152001|存出保证金-租（押）金|CNY||0606|1114938.000000|资产|0.000000|0.000000|20180701|
1601|固定资产|CNY||0606|8947442.830000|资产|0.000000|0.000000|20180701|
1601|固定资产|USD||0606|930.220000|资产|0.000000|0.000000|20180701|
160101|固定资产-房屋及建筑物|CNY||0606|4336527.020000|资产|0.000000|0.000000|20180701|
160102|固定资产-管理用具|CNY||0606|1098841.000000|资产|0.000000|0.000000|20180701|
160103|固定资产-电子设备|USD||0606|930.220000|资产|0.000000|0.000000|20180701|
160103|固定资产-电子设备|CNY||0606|1380659.220000|资产|0.000000|0.000000|20180701|
160105|固定资产-机器、机械及其他设备|CNY||0606|2131415.590000|资产|0.000000|0.000000|20180701|
1602|累计折旧|CNY||0606|-7463666.110000|资产|0.000000|0.000000|20180701|
1602|累计折旧|USD||0606|-760.740000|资产|0.000000|0.000000|20180701|
160201|累计折旧-房屋及建筑物累计折旧|CNY||0606|-3520615.090000|资产|0.000000|0.000000|20180701|
160202|累计折旧-管理用具累计折旧|CNY||0606|-792302.290000|资产|0.000000|0.000000|20180701|
160203|累计折旧-电子设备累计折旧|USD||0606|-760.740000|资产|0.000000|0.000000|20180701|
160203|累计折旧-电子设备累计折旧|CNY||0606|-1199311.430000|资产|0.000000|0.000000|20180701|
160205|累计折旧-机器、机械及其他设备累计折旧|CNY||0606|-1951437.300000|资产|0.000000|0.000000|20180701|
1701|无形资产|CNY||0606|543900.000000|资产|0.000000|0.000000|20180701|
170102|无形资产-软件|CNY||0606|543900.000000|资产|0.000000|0.000000|20180701|
1702|无形资产累计摊销|CNY||0606|-401900.090000|资产|0.000000|0.000000|20180701|
170202|无形资产累计摊销-软件累计摊销|CNY||0606|-401900.090000|资产|0.000000|0.000000|20180701|
1801|长期待摊费用|CNY||0606|1405391.560000|资产|0.000000|0.000000|20180701|
180106|长期待摊费用-长期待摊房地费用|CNY||0606|60295.000000|资产|0.000000|0.000000|20180701|
180199|长期待摊费用-其他长期待摊费用|CNY||0606|1345096.560000|资产|0.000000|0.000000|20180701|
2002|保证金存款|EUR||0606|-60000.000000|负债|0.000000|0.000000|20180701|
200203|保证金存款-信用证保证金|EUR||0606|-60000.000000|负债|0.000000|0.000000|20180701|
2011|同业存放款项|CNY||0606|-58745737.100000|负债|0.000000|0.000000|20180701|
201101|同业存放款项-境内同业活期存款|CNY||0606|-31231688.630000|负债|0.000000|0.000000|20180701|
201104|单位协定存款|CNY||0606|-27514048.470000|负债|0.00|0.00|20180701|
20110102|同业存放款项-境内同业活期存款-银行业非存款类金融机构|CNY||0606|-58745737.100000|负债|0.000000|0.000000|20180701|
