LCNO|LCTYPE|CTMN|CSMN|ISBK|ISDT|ADEXRYDATE|BEFC|BEFCNO|MALC|IOUN|CDCN|NGTB|SWIFTCODE|LCCR|LCAM|LCBL|LCTE|COMS|CHTP|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|TENOR_DAYS|BANK_PAY_FLG|SYS_DATE|
TF1810910107|EUNU|GINTECH ENERGY CORPORATION||9000109|20180419|20180521|山东大海新能源发展有限公司|1004158||TF181091010701,||||USD|460800.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1804089370|EUNU|GINTECH ENERGY CORPORATION||9000113|20180209|20180307|山东大海新能源发展有限公司|1004158||TF180408937001,TF180408937002,||||USD|548352.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1805584940|EUNU|SOLARTECH ENERGY CORP.||9000108|20180223|20180330|山东大海新能源发展有限公司|1004158||TF180558494001,||||USD|269287.200000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1806445796|EUNU|TAINERGY TECH CO., LTD.||9000115|20180302|20180330|山东大海新能源发展有限公司|1004158||TF180644579601,||||USD|284928.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1806504611|EUNU|GINTECH ENERGY CORPORATION||9000050|20180305|20180421|山东大海新能源发展有限公司|1004158||TF180650461101,TF180650461102,TF180650461103,||||USD|762048.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1616677905|CDOT|东营科英进出口有限公司|1001953|9000052|20160614|20170609|博富瑞国际（香港）有限公司|1002142||TF161667790501,||||USD|3350000.000000000000|0.000000|23214|||||||||0606|0606||2|20180702|
TF1613794600|CDOT|东营科英进出口有限公司|1001953|9000052|20160516|20170511|博富瑞国际（香港）有限公司|1002142||TF161379460001,||||USD|7197689.990000000000|0.000000|23214|||||||||0606|0606||2|20180702|
TF1631419021|INSU|上海逵迈纺织品有限公司|1000902||20161109|20161208|SHENMA INDUSTRIAL CO.,LTD|||TF163141902101,|1000902.0003022.01.01|||USD|97240.000000000000|0.000000|23010|CNY1647.38,CNY135.53,|LCJKKZ,LCXBDF,||1000902.0003022.01|3022|USD|450000.000000||0606|0606||2|20180702|
TF1713860850|INSU|上海逵迈纺织品有限公司|1000902||20170518|20170615|SHENMA INDUSTRIAL CO.,LTD|||TF171386085001,|1000902.0003022.01.02|||USD|100980.000000000000|0.000000|23010|CNY1738.95,CNY137.77,|LCJKKZ,LCXBDF,||1000902.0003022.01|3022|USD|450000.000000||0606|0606||2|20180702|
TF1614695416|IUNU|上海逵迈纺织品有限公司|1000902||20160525|20160823|NEW SITE INDUSTRIES INC.||||1000902.0003022.01.01|||USD|660000.000000000000|0.000000|23020|CNY10821.69,CNY131.17,|LCJKKZ,LCXBDF,||1000902.0003022.01|3022|USD|450000.000000||0606|0606|90|2|20180702|
TF1701308109|INSU|上海逵迈纺织品有限公司|1000902||20170113|20170307|SHENMA INDUSTRIAL CO.,LTD|||TF170130810901,|1000902.0003022.01.01|||USD|70400.000000000000|0.000000|23010|CNY1214.22,CNY137.98,|LCJKKZ,LCXBDF,||1000902.0003022.01|3022|USD|450000.000000||0606|0606||2|20180702|
TF1805452162|EUNU|GINTECH ENERGY CORPORATION||9000050|20180222|20180325|SHANDONG DAHAI NEW ENERGY|||TF180545216201,TF180545216202,||||USD|739584.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1801269304|EUNU|TAINERGY TECH CO.,LTD.||9000050|20180112|20180228|SHANDONG DAHAI NEW ENERGY|||TF180126930401,||||USD|290304.000000000000|9216.000000|23140|||||||||0606|0606||2|20180702|
TF1734269670|EUNU|TAINERGY TECH CO., LTD.||9000115|20171207|20180121|SHANDONG DAHAI NEW ENERGY|||TF173426967001,||||USD|313344.000000000000|0.000000|23140|||||||||0606|0606||2|20180702|
TF1707413009|INSU|上海逵迈纺织品有限公司|1000902||20170315|20170405|SHENMA INDUSTRIAL CO.,LTD|||TF170741300901,|1000902.0003022.01.01|||USD|98340.000000000000|0.000000|23010|CNY1700.05,CNY138.30,|LCJKKZ,LCXBDF,||1000902.0003022.01|3022|USD|450000.000000||0606|0606||2|20180702|
